ID;SKU;VARIANT_ID;CATEGORIES;NAME;PRICE;PROMOTIONAL_PRICE;STOCK;PUBLISHED;CANONICAL_URL;UPDATED_AT
110302763;20361;422274237;5664404;Casco Vertigo Summer Celeste;32299.00;;2;true;https://www.mvurbano.com.ar/productos/casco-vertigo-summer-celeste/;2024-04-30T16:36:45-03:00
110302836;20369;422274574;5664404;Casco Vertigo Summer Naranja;32299.00;;2;true;https://www.mvurbano.com.ar/productos/casco-vertigo-summer-naranja/;2024-04-11T15:52:04-03:00
110302984;20373;422274962;5664404;Casco Vertigo Summer Turquesa;32299.00;;2;true;https://www.mvurbano.com.ar/productos/casco-vertigo-summer-turquesa/;2024-04-11T15:52:04-03:00
117655995;20543;453625277;11163785;Calza Acerbis Corta Con Proteccion Negra;39490.00;;100;true;https://www.mvurbano.com.ar/productos/calza-acerbis-corta-con-proteccion-negra/;2024-04-30T16:19:29-03:00
118137612;17050;455796588;5653700;Traba U Onguard Brute 8000 + Soporte;70329.00;;1;true;https://www.mvurbano.com.ar/productos/traba-u-onguard-brute-8000-soporte/;2024-04-11T15:52:04-03:00
118841908;20797;460031740;5653700;Soporte Celular Benguo Bici Moto Aluminio;20299.00;;5;true;https://www.mvurbano.com.ar/productos/soporte-celular-benguo-bici-moto-aluminio/;2024-04-30T16:19:43-03:00
119710785;20769;464418464;5653700;Porta Celular Moto Hybridcity Phbig Alumin P/espejo;24266.00;;;true;https://www.mvurbano.com.ar/productos/porta-celular-moto-hybridcity-phbig-alumin-p-espejo/;2024-04-11T15:52:05-03:00
120122624;18526;466194524;11163785;Guantes City Con Proteccion;35864.00;;5;true;https://www.mvurbano.com.ar/productos/guantes-city-con-proteccion/;2024-04-12T08:50:39-03:00
121203138;20525;493393880;11163785;Bota Touring Alter Trip;89600.00;;1;true;https://www.mvurbano.com.ar/productos/bota-touring-alter-trip/;2024-04-12T08:50:39-03:00
121204142;20851;493394954;11163785;Bota Touring Alter Fluence;92800.00;;1;true;https://www.mvurbano.com.ar/productos/bota-touring-alter-fluence/;2024-04-12T08:50:33-03:00
121360032;19995;471573968;5664404;Casco Abierto Axxis Mirage SV Solid;206151.00;;;true;https://www.mvurbano.com.ar/productos/casco-abierto-axxis-mirage-sv-solid/;2024-04-30T16:19:10-03:00
124206970;17624;484125645;5653700;Calienta Puños Calefeccionados 4 Niveles;53112.00;;10;true;https://www.mvurbano.com.ar/productos/calienta-punos-calefeccionados-4-niveles/;2024-04-11T15:52:05-03:00
125265093;17558;488366377;11163785;Equipo De Lluvia Pantaneiro;35108.00;;;true;https://www.mvurbano.com.ar/productos/equipo-de-lluvia-pantaneiro/;2024-04-12T08:50:17-03:00
126278739;20839;492718534;5653700;Baules Laterales Givi Monokey E21N;254095.00;;;true;https://www.mvurbano.com.ar/productos/baules-laterales-givi-21-litros-monokey-e21n/;2024-04-11T15:52:05-03:00
126289630;05625;492768706;5653700;Llavero nautico motoquero Vs motivos;2314.00;;100;true;https://www.mvurbano.com.ar/productos/llavero-nautico-motoquero-vs-motivos/;2024-04-11T15:52:05-03:00
126433072;14159;493370140;5664404;Casco Para Bicicleta Bell Azul Y Negro;61348.00;;1;true;https://www.mvurbano.com.ar/productos/casco-para-bicicleta-bell-azul-y-negro/;2024-04-11T15:52:05-03:00
