ID;SKU;Imagen
211862995;TEC397;https://www.xt-pc.com.ar/img/productos/8/TEC397.jpg
211863002;TEC399;https://www.xt-pc.com.ar/img/productos/8/TEC399.jpg
211863013;IMP200;https://www.xt-pc.com.ar/img/productos/20/IMP200.jpg
211863018;MOU507;https://www.xt-pc.com.ar/img/productos/14/MOU507.jpg
211863022;MUL234;https://www.xt-pc.com.ar/img/productos/30/MUL234.jpg
211863030;MUL233;https://www.xt-pc.com.ar/img/productos/30/MUL233.jpg
211863045;TEC420;https://www.xt-pc.com.ar/img/productos/8/TEC420.jpg
211863052;ACC422;https://www.xt-pc.com.ar/img/productos/55/ACC422.jpg
211863058;ACC423;https://www.xt-pc.com.ar/img/productos/55/ACC423.jpg
211863068;ACC424;https://www.xt-pc.com.ar/img/productos/55/ACC424.jpg
211863076;COO289;https://www.xt-pc.com.ar/img/productos/23/COO289.jpg
211863087;MOT1296;https://www.xt-pc.com.ar/img/productos/2/MOT1296.jpg
211863094;ACC438;https://www.xt-pc.com.ar/img/productos/30/ACC438.jpg
211863105;ACC439;https://www.xt-pc.com.ar/img/productos/30/ACC439.jpg
211863110;MEM629;https://www.xt-pc.com.ar/img/productos/4/MEM629.jpg
211863118;MEM631;https://www.xt-pc.com.ar/img/productos/4/MEM631.jpg
211863131;MEM633;https://www.xt-pc.com.ar/img/productos/4/MEM633.jpg
211863139;IMP214;https://www.xt-pc.com.ar/img/productos/20/IMP214.jpg
211863143;TEC422;https://www.xt-pc.com.ar/img/productos/8/TEC422.jpg
211863147;MPD034;https://www.xt-pc.com.ar/img/productos/56/MPD034.jpg
211863159;MPD036;https://www.xt-pc.com.ar/img/productos/56/MPD036.jpg
211863163;MOU533;https://www.xt-pc.com.ar/img/productos/14/MOU533.jpg
211863169;MOU535;https://www.xt-pc.com.ar/img/productos/14/MOU535.jpg
211863175;MOU537;https://www.xt-pc.com.ar/img/productos/14/MOU537.jpg
211863191;MOU539;https://www.xt-pc.com.ar/img/productos/14/MOU539.jpg
